timestamp,src_ip,dst_ip,protocol,length
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,54
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,86
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,86
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,103
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,1292
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,1292
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,122
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,112
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:40,52.155.91.254,192.168.7.149,6,93
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,86
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,1296
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,112
2025-06-24 23:39:40,192.168.7.73,192.168.7.149,6,103
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:40,192.168.7.149,52.155.91.254,6,54
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,1292
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,1296
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,1296
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,350
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,992
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,123
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,70
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,1292
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,73
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,74
2025-06-24 23:39:40,142.250.194.164,192.168.7.149,17,166
2025-06-24 23:39:40,192.168.7.149,142.250.194.164,17,74
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,336
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,338
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,54
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,54
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,66
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,1334
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,66
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,1354
2025-06-24 23:39:40,192.168.7.149,13.107.137.11,6,137
2025-06-24 23:39:40,13.107.137.11,192.168.7.149,6,56
2025-06-24 23:39:41,192.168.7.149,49.44.119.47,6,55
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:41,192.168.7.149,104.26.7.95,6,113
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,90
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,90
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,49.44.119.47,192.168.7.149,6,66
2025-06-24 23:39:41,104.26.7.95,192.168.7.149,6,56
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,55
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,66
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,66
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,90
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,56
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,90
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,133
2025-06-24 23:39:41,192.168.7.73,192.168.7.149,6,139
2025-06-24 23:39:41,192.168.7.149,192.168.7.73,6,54
